
ভাবী,ভবিষ্যতে হবে এমন
বেওয়ারিশ,যার দাবিদার নেই 
বিদ্যমান,যা আছে 
ভঙ্গুর,যা সহজেই ভেঙে যায় 
অনাথ,যার মা বাবা নেই 
যুযুৎসু,যুদ্ধের জন্য ইচ্ছুক 
যৎপরোনাস্তি,যার পর আর কিছু নেই 
যুবজানি,যুবতী যায়া যার 
যশস্বী,যশ আছে যার 
যুধিষ্ঠির,যিনি যুদ্ধে স্থির থাকেন 
রাতকানা,যে রাতে চোখে দেখে না 
অকালমৃত্যু,আয়ুষ্কাল পূর্ণ না হয়ে মৃত্যু 
আবেদা,আবেদনের যোগ্য 
আচারনিষ্ঠ,আচারে নিষ্ঠা আছে যার 
আঠালো,আঠাযুক্ত যা 
আয়ুষ্য,আয়ুর পক্ষে হিতকর 
কৃতার্থমন্য,আপনাকে কৃতার্থ মনে করেন যিনি 
পণ্ডিতম্মন্য,আপনাকে পণ্ডিত মনে করেন যিনি 
আতপশুষ্ক,আতপে শুষ্ক যাহা 
অনাদি,আদি নেই যা 
আস্তিক,আল্লাহর ওপর বিশ্বাস আছে যার 
নাস্তিক,আল্লাহর ওপর বিশ্বাস নেই যার 
মিতব্যয়ী,আয় অনুসারে ব্যয় করেন যিনি 
অমিতব্যয়ী,আয় অনুসারে ব্যয় করেন না যিনি 
অশ্রুতপূর্ব,আগে কখনো শোনা যায়নি যা 
আরাধ্য,আরাধনা করার যোগ্য 
আত্মকর্তৃত্ত্ব,আপন কর্তৃত্ত্ব যেখানে শুরু 
আধ্যাত্মিক,আত্মার সম্বন্ধীয় বিষয় 
আত্মীয়,আত্মার সাথে সম্পর্ক যা 
আচরণীয়,আচরণের যোগ্য 
আনন্দপ্রদ,আদর প্রদান করে যে 
আশাতীত,আশাকে অতিক্রম করে যে 
াত্মকেন্দ্রিক,আপনাকে কেন্দ্র করে যার চিন্তা 
খ-ধূপ,আকাশে (খ-তে) ওড়ে বাজি 
আতপত্র,আতপ থেকে ত্রাণ করে যা 
অনায়ত্ত,আয়ত্ত করা হয়নি এমন 
অপ্রত্যাশিত,আশা করা যায়নি এমন 
অপ্রাসঙ্গিক,আলোচ্য বিষয়ের সাথে সম্পর্কহীন 
আক্রান্ত,আক্রমণ করা হয়েছে এমন 
আরদ্ধ,আরম্ভ করা হয়েছে 
আরূঢ়,আরোহণ করেছে এমন 
উপক্রমণীয়,আরম্ভ করার যোগ্য 
আকাঙ্ক্ষণীয়,আকাঙ্ক্ষা করার যোগ্য 
চিরাচরিত,আবহমান কাল ধরে অনুষ্ঠিত 
দুরাক্রম্য,আক্রমণ করা কঠিন 
দুরারোহ,আরোহণ করা শক্ত 
হৃতাদর,আদর বা সম্মান নষ্ট হয়েছে এমন 
বিচরণ,ইতস্তত ভ্রমণ 
ভ্রাম্যমাণ,ইতস্তত গমনশীল 
দাগী,ইতোপূর্বে দণ্ডিত ব্যক্তি 
ঐতিহাসিক,ইতিহাস জানেন যিনি 
ঐরাবত,ইরাবতে জাত 
পরলোক,ইহলোকের পরবর্তী লোক 
ঈদৃশ,ইহার তুল্য বা সদৃশ 
স্বেচ্ছাচারী,ইচ্ছামতো কাজ বা আচরণ যে করে 
ঐচ্ছিক,ইচ্ছার অনুরূপ বা অধীন 
ইন্দ্রজিৎ,ইন্দ্রকে জয় করেছে যে 
জিতেন্দ্রিয়,ইন্দ্রিয়কে জয় করেছেন যিনি 
যথেষ্ট,ইষ্টকে অতিক্রম না করে 
ঐহিক/ইহলৌকিক,ইহলোক বিষয়ক 
ঐন্দ্রজালিক,ইন্দ্রজাল জানেন যিনি 
ইন্দ্রাণী,ইন্দ্রের পত্নী 
অট্টালিকা,ইষ্টক নির্মিত ঘর 
ফতোয়া,ইসলামী শাস্ত্র অনুযায়ী নির্দেশ 
আলোকসামান্য,ইহলোকে সামান্য নয় 
কাফের,ইসলামে অবিশ্বাসী 
নন্দন,ইন্দ্রের বাগান 
দম,ইন্দ্রিয়ের সংযম 
ঐক্ষিক,ইক্ষু বিষয়ক 
ইদানীং,ইতোমধ্যেকার ঘটনা 
ইতিহাসবেত্তা,ইতিহাসে অভিজ্ঞ যিনি 
ইহকালসর্বস্ব,ইহকালই সর্বস্ব যা 
ঐন্দ্রজালিক,ইন্দ্রজাল (যাদু) বিদ্যায় পারদর্শী 
উচ্চৈঃশ্রবা,ইন্দ্রের অশ্ব 
ওষ্ঠাধর,ওষ্ঠ ও অধরা 
ওষ্ঠ্য,ওষ্ঠের দ্বারা উচ্চারিত 
তুলাদণ্ড,ওজন করা হয় যে যন্ত্রের সাহায্যে 
ওষধ,ওষধি থেকে উৎপন্ন 
ঊর্ধ্বদৃষ্টি,ওপরের দিকে নিবদ্ধ দৃষ্টি 
মমি,ঔষধ সংযোগে রক্ষিত মৃতদেহ 
ঔষধালয়,ঔষধের দোকান 
অনুপান,ঔষধের আনুষঙ্গিক সেবা 
অকপট,কাপট্য জানে না যে 
অমাবস্যা,কৃষ্ণপক্ষের শেষ তিথি 
অনির্বচনীয়,কথায় যা প্রকাশ করা যায় না 
অকর্মণ্য,কর্ম করার শক্তি যার নেই 
অধঃকায়,কটিদেশ থেকে পদতল পর্যন্ত অংশ 
অজ্ঞাত,কেউ যা জানে না 
অজিতেন্দ্রিয়,কাম ক্রোধ লোভাদির বশীভূত 
অচিন্ত্য/অচিন্তনীয়,কখনো যা চিন্তা করা যায় না 
অবলি,কথা বলতে পারে না যে 
অকুতোভয়,কোনো কিছুতে ভয় নেই যার 
আকণ্ঠ,কণ্ঠ পর্যন্ত 
আকর্ণ,কর্ণ পর্যন্ত 
আকর্ণবিস্তৃত,কর্ণ পর্যন্ত বিস্তৃত 
বন্ধুর,কোথাও উঁচু কোথাও বা নিচু 
কলাবিদ,কলাজ্ঞান আছে যার 
কৃতকার্য,কার্য যার সফল হয়েছে 
কেঠো,কাঠের নির্মিত 
ক্রমবর্ধমান,ক্রমে যা বেড়ে চলেছে 
কিংকর্তব্যবিমূঢ়,কি করতে হবে যে স্থির করতে পারে না 
কাকপক্ষ,কানের পাশে লম্বিত কেশগুচ্ছ 
কৃত্তিবাস,কৃতি (পোশাক) যার 
কোটনা/কোটনী (স্ত্রী),কান ভাঙিয়ে বিবাদ সৃষ্টি করে যে 
কদাকার,কুৎসিত আকার যার 
ক্রেঙ্কার,কর্কশ ধ্বনি 
কৃষিমাতা,কৃষি মাতা যে দেশের 
কৃষাণী,কৃষকের পত্নী 
কালীন,কালে যা ঘটে 
কারুণিক,করুণা আছে যার 
কালমেঘ,কৃষ্ণবর্ণ মেঘ 
কূটন্যাস,কূটন্যাস করে যা 
কুন্তকার,কুম্ভ করে যে 
কলমদানি,কলম রাখার পাত্র 
কাগুজে,কাগজে তৈরি 
কৃষ্ণকান্ত,কৃষ্ণের ন্যায় কমনীয় 
কৃষিজ,কৃষি থেকে উৎপন্ন 
কৈশিক,কেশ সম্বন্ধীয় 
কুপন,কোনো লেখনের ছেঁড়া অংশ 
চিকীর্ষু,করতে ইচ্ছুক 
চিকীর্ষা,করতে ইচ্ছা 
চলোর্মি,ক্রীড়নশীল তরঙ্গ 
চলনসই,কাজ চালানোর উপযুক্ত 
দৌহিত্র,কন্যার পুত্র 
নিরপেক্ষ,কারো অপেক্ষা রাখে না যে 
নাছোড়বান্দা,কিছুতেই ছাড়ে না যে 
পল্লবগ্রাহিতা,কোন বিষয়ে সম্পূর্ণ না জেনে সকল বিষয়ে কিছু কিছু জানা 
কূজন,কুকুরের ডাক 
বীতশ্রদ্ধ,কোন বিষয়ে যে শ্রদ্ধা হারিয়েছে 
মেখলা,কটিদেশের বস্ত্র অলঙ্কার প্রভৃতি 
রাল্ল্র,কনুই থেকে বদ্ধ মুষ্টি পর্যন্ত পরিমাণ 
রসকলি,কপালে আঁকা তিলক 
শাদ্বল,কচি তৃণাচ্ছৃত ভূমি 
সহিষ্ণু,কষ্ট সহ্য করে যে 
নিটোল,টোল পড়েনি এমন 
কস্তা,টকটকে লাল 
মহাজনী,টাকা ধার দেয়ার কাজ 
টলটলায়মান,টলে পড়ে যাওয়ার উপক্রম হয়েছে এমন 
টিপকল,টিপিয়া আটকানো যায় এমন যন্ত্রযুক্ত দ্রব্যাদি 
টিপটিপে,টিপটিপ করে ভয়ে বা দুর্বলতায় যার অন্তর 
টপুটপে,টপুটপ করে পড়ে এমন 
টসটসে,টসটসে করছে এমন 
শীতোষ্ণ,ঠাণ্ডা ও গরম 
শীতার্ত,ঠাণ্ডায় পীড়িত 
প্রতীত,ঠিক বিপরীত দিকে অবস্থিত 
বেঠিক,ঠিক নয় 
ঠাকুরালি,ঠাকুরের ভাব 
ঠাকুরঘর,ঠাকুরের পূজা করার জন্য যে ঘর 
ঠিকরানো,ঠিকরে পড়ে যা 
ঠিকানা,ঠিকমতো নামধাম আছে যাতে 
ঠক,ঠকায় যে 
কানাকানি,কান কানে যে কথা
প্রতিকূল,কূলের বিপরীত
শিশমহল,কাঁচের তৈরি ঘর
ভাবমূর্ত্তি,কল্পনার দ্বারা রচিত মূর্ত্তি
সহকারী,কাজে সাহায্য করে যে
কপিশ,কালো হলুদের মিশানো রং
বিসমিল্লাহ,কাজের শুরুতে আল্লাহর নামে দোহাই
কীর্ত্তিবাস,কীর্ত্তিমত মর্ত্ত্যে বসতি যার
প্রতিফল,কৃত কর্মের ফল
যক্ষ,কুবেরের ধন রক্ষক
বায়না/আগাম,কেনার আগে দামের যে অংশ দেয়া হয়
বাদানিষ্ঠ,কথা দিয়ে যিনি কথা রাখেন
প্রতিক্রিয়া,ক্রিয়ার বিপরীত
নিকষিত,কষ্টি পাথরে ঘর্ষিত
আগাছা,কোনো উপকারে আসে না যে গাছ
চড়াই,ক্রমশ উঁচু রাস্তা
ঠোঁটকাটা,কিছু বলতে যার ঠোঁটে বাধে না
ভনিতা,কবির পরিচয় জ্ঞাপক উক্তি
অমর,কখনো মৃত্যু হয় না
বাগ্মী,কথায় পটু
ছিঁচকাঁদুনে,কথায় কথায় যে কাঁদে
করণীয়,করার যোগ্য
নিস্কর,কর দিতে হয়না যে জমির
দোদুল্যমান,ক্রমাগত দুলছে এমন
নাবাল,ক্রমশ নিচু
কর্মচারী,কর্মে চারণ করে যে
আশীর্ব্বাদ,কল্যাণ কামনায় উচ্চারণ
দুর্নিবার,কষ্টে নিবারণ করা যায় যা
কষ্টসহিষ্ণু,কষ্ট সহ্য করতে পারে যে
অনুকূল,কূলের যোগ্য
অকুতোভয়,কোথা হতে ভয় নেই যার
দুরূচ্চার্য,কষ্টে উচ্চারণ করতে হয় না
নিঃস্ব,কিছু নেই যার
পুকুরনী,কৃত্রিম জলাশয়
কোমুদিনী,কুন্দশোভিত পুষ্করিণী
একাগ্রচিত্ত,কেবল এক বিষয়ে চিত্ত যার
তন্মাত্র,কেবল তাই
কুহু,কোকিলের ডাক
লিপ্সা,কোনো কিছু পাওয়ার ইচ্ছা
প্রদক্ষিণ,কোনো কিছুর চারদিকে আবর্তন
পথিকৃৎ,কোনো বিষয়ে নতুন পথ নির্দেশ করে যে
যথাক্রমে,ক্রমকে বজায় রেখে
ক্রমগত,ক্রমে এসেছে
বীতকাম,কামনা দূর হয়েছে যার
অকাতরে,কাতর না হয়ে
কর্মঠ,কর্মে অতিশয় দক্ষ
কর্মকুশল,কর্মে অতিশয় কুশল
অক্লান্তকর্মী,কর্মে যার ক্লান্তি নেই
অজ্ঞাতসারে,কেউ জানতে না এভাবে
অজয়,কেউ যাকে জয় করতে পারে না
কিংকর্তব্য,কি করা উচিত
কমবয়সী,কম বয়স যার
দিগ্বিদিকজ্ঞানশূন্য,কোনটি দিক কোনটি বিদিক এই জ্ঞান নেই যার
কাঠঠোকরা,কাঠে ঠক ঠক করে ঠোকরায় যে
কাঠুরিয়া,কাষ্ঠ কাটে যে
কষ্টকর,কষ্টে করা যায় যা
কুশপা,কুশের মতো সরু ও দূর্বল পা যার
কুলটা,কুল ত্যাগ করে যে
কুলাঙ্গার,কূলের কীর্ত্তিতে কলঙ্ক লেপন করে যে
কুলতিলক,কূলের অলঙ্কার বা বিশেষ মর্যাদা আনয়ন করে যে
কুললক্ষ্মী,কূলের কল্যাণস্বরূপ যে গৃহিনী
কুলপ্রদীপ,কূলের কীর্ত্তি বর্ণনাকারী যে সন্তান
কুলধর্ম,কূলে বা বংশে বিশেষভাবে আচরিত যে ধর্ম
কুলাভিমানী,কূলের আভিজাত্যের গর্বে গর্বিত যারা
ক্রীতদাস,ক্রীত হয়েছে যাবৎ জীবনের জন্য যে দাস
ক্রেতব্য,ক্রয় করা উচিত যা
উপনগর,নগরের উপকণ্ঠে
উলুক,নীলবর্ণ বানর
ওয়াদা,নির্ধারিত সময়
কুশীলব,নাটকের পাত্রপাত্রী
ছিঁচকাঁদুনে,নিয়ত বা সহজে কাঁদে যে
কুলপি,নলের আকারে জমানো বরফ
খেয়াঘাট,নদীতে পার হবার স্থান
জুগুন্সা,নিন্দা করার ইচ্ছা
জুগুন্সিত,নিন্দিত হয়েছে যা
নমস্য,নমস্কারের যোগ্য
নন্দাই,নন্দের স্বামী
নিন্দনীয়/নিন্দাহ্,নিন্দার যোগ্য
নিক্কণ,নুপুরের ধ্বনি
নাব্য,নৌ চলাচলের যোগ্য
নিদাঘ,নিতান্ত দগ্ধ হয় যে সময়ে
নীরদ,নীলদান করে যে
নাবিক,নৌকা চালায় যে
নিত্যানন্দ,নিত্য আনন্দ যার
পণ্ডিতম্মন্য,নিজেকে পণ্ডিত মনে করে যে
হীনম্মন্যতা,নিজেকে হীন মনে করা
দুর্নিবার,নিবারণ করা কঠিন যা
অন্তঃসলিলা,নিচে জল আছে যার
ধেনু,নবপ্রসূতা গাভী
ধন্যম্মন্য,নিজেকে ধন্য মনে করে যে
হক,ন্যায্য প্রাপ্য
নির্যাস,নিঃশেষিত সারবস্তু
সৈকত,নদীর বালুকাময় তট
নদীমাতৃক,নদী মাতা যে দেশের
রক্ষণশীল,নতুনত্বে বিরোধী
নবারুণ,নতুন সূর্য
মহরত,নতুন আরম্ভ
নবান্ন,নতুন অন্নের উৎসব
অপ্রিয়,নয় প্রিয়
নাতিদীর্ঘ,নয় অতিদীর্ঘ
নির্মূল,নেই মূল যার
নির্মল,নেই মল যার
নির্মম,নেই মমতা যার
নিষ্ফল,নেই ফল যার
নিরপেক্ষ,নেই পক্ষ যার
নিষ্কর্মা,নেই কর্ম যার
বেইমান,নেই ঈমান যার
নিরাশা,নেই আশা যার
দিগম্বর,নেই আবরণ যার
নিরানন্দ,নেই আনন্দ যার
অরাজক,নেই রাজা যে দেশে
নাসিক্য,নাসিকা হতে উচ্চারিত
লাস্য,নারীর লীলায়িত নৃত্য
ন্যাকামি,নায়িকার ভাব
ইনসাফ,ন্যায় বিচার
নৈয়ায়িক,ন্যায়শাস্ত্র জানেন যিনি
স্বয়ংবরা,নিজেই পতি নির্বাচন করে যে
স্বায়ত্তশাসন,নিজেদের পরিচালিত শাসন
অনাহূত,নিমন্ত্রণ না করা সত্ত্বেও যিনি উপস্থিত
নবোঢ়া,নতুন বিবাহিত স্ত্রী
মাদক,নেশার দ্রব্য
নটরাজ,নৃত্য কলার উদ্ভাবক
নিরস্ত্র,নেই অস্ত্র যার
নিরুত্তর,নেই উত্তর যার
হামবড়া,নিজেকে বড় ভাবে যে
স্বয়ম্ভূ,নিজেকে যে নিজেই সৃষ্টি করেছে
নিরাকার,নেই আকার যার
নির্লজ্জ,নেই লজ্জা যার
নিংশঙ্ক,নেই শঙ্কা যার
নিরুৎসাহ,নেই উৎসাহ যার
নিষ্কলুষ,নেই কলুষ যাতে
পান্থশালা,পথিকদের আহারাদি করার গৃহ
পথিক,পথ দিয়ে হেঁটে চলে যে
পাথেয়,পথ চলার খরচ
পটুয়া,পট আঁকেন যিনি
অপাংক্তেয়,পঙক্তিতে বসার অযোগ্য
ঊনপাঁজুরে,পাজরের হাড় কম যার
অনুজ,পরে জন্মেছে যে
মিতব্যয়ী,পরিমিত ব্যয় করে যে
মিতাহারী,পরিমাণ মত খায় যে
অপরাজেয়,পরাজিত করা যায় না যাকে
সম্প্রীতি,পরস্পরের মধ্যে প্রীতি
অনুসন্ধিৎসা,অনুসন্ধানের ইচ্ছা 
অগ্ৰলেহ,অগ্ৰকে লেহন করে যে 
অনুচিকীর্ষা,অনুকরণ করার ইচ্ছা 
অনুসন্ধিৎসু,অনুসন্ধান করিতে ইচ্ছুক 
অনুচিকীর্ষু,অনুকরণ করিতে ইচ্ছুক 
অত্যাশন,অতিশয় ভোজন 
অল্পভাষী,অল্প কথা বলে যে 
অতিক্রমণীয়,অতিক্রমের যোগ্য 
অনতিক্রম্য,অতিক্রম করা যায় না যা 
অতীয়ূষ,অতিশয় উষ্ণা 
অগ্ৰগামী,অগ্ৰে গমন করে যে 
অতিগ,অতিক্রম করে গমনকারী 
অরজিৎ,অরিকে জয় করেছে যে 
অনন্যগতি,অন্য কোনো গতি নেই যার 
অবিমৃষ্যকারী,অগ্ৰ-পশ্চাৎ না ভেবে যে কাজ করে 
অধ্যাপক,অধ্যাপনা করেন যিনি 
অনন্যমনা,অন্যদিকে মন নেই যার 
অনায়াসলব্ধ,অনায়াসে যা লাভ করা যায় 
অনন্যোপায়,অন্য উপায় নেই যার 
অনন্যা,অন্য কারো প্রতি আসক্ত হয় না এমন নারী 
অনন্ত,অন্ত নেই যার 
অভিনেতা,অভিনয় করে যে 
অপত্য,অন্য গতি নেই যার 
অরণি,অগ্নি উৎপাদনের কাঠ 
অন্তরীপ,অন্তর্গত অপ যার 
অনুকরণীয়/অনুকার্য,অনুকরণের যোগ্য 
অন্যমনা/অন্যমনস্ক,অন্য দিকে মন যার 
অরিন্দম,অরিকে দমন করেন যিনি 
অনূদিত,অন্য ভাষায় অনুবাদ 
আন্ত,অন্ত আছে যার 
অণুবীক্ষণ,অণুকে দেখা যায় যার দ্বারা 
অণিমা,অণুর ভাব 
অন্তায়মান,অন্ত যাচ্ছে এমন 
অপচিকীর্ষা,অপকার করার ইচ্ছা 
অপচিকীর্ষু,অপকার করিতে ইচ্ছুক 
আনুপূর্বিক,অগ্ৰ-পশ্চাৎ ক্রম অনুযায়ী 
অর্থনৈতিক/আর্থিক,অর্থনীতি সম্বন্ধীয় 
আমোদ,অতি মনোহর গন্ধ 
আণবিক,অণু সম্বন্ধীয় 
আততায়ী,অতর্কিত অবস্থায় হত্যাকারী বা আক্রমণকারী 
ওরফে,অন্য নামে 
উন্নাসিক,অবজ্ঞায় নাক উঁচু করে যে 
কাকতালীয়,অকস্মাৎ ঘৃত 
ক্ষণভঙ্গুর,অল্পকাল স্থায়িত্ব যার 
গতানুশোচনা,অতীত বিষয়ের জন্য শোক প্রকাশ 
তারস্বর,অতি উচ্চ স্বর 
দরদী,অপরের দুঃখে যে দুঃখিত হয় 
দুর্নিবার,অতিকষ্টে যা নিবারণ করা যায় 
প্রলাপ,অর্থহীন উক্তি 
প্রতিভা,অপূর্ব সৃষ্টিশীল ক্ষমতা 
পরোক্ষ,অক্ষির গোচরে 
পরোঢ়া,অন্য কর্তৃক বিবাহিতা 
ত্রিনয়ন,তিন নয়ন যার 
তাচ্ছিল্য,তুচ্ছ জ্ঞানে অবহেলা 
তেমোহনা,তিন মোহনার মিলন যেখানে 
তুলোট,তুলা দ্বারা তৈরি 
গুড়ুম,তোপের ধ্বনি 
তালকানা,তাল জ্ঞান নেই যার 
তীরন্দাজ,তীর নিক্ষেপ করে যে 
তরঙ্গায়িত,তরঙ্গ উঠেছে যাতে 
তাদৃশ,তোমার মতো 
তন্তুজ্জ,তন্তু থেকে জাত 
তনিমা,তনুর ভাব 
তস্কর্য,তস্করের কাজ 
তেজস্বী,তেজ আছে যার 
তিলোত্তমা,তিল তিল করে আহৃত সৌন্দর্য নির্মিত প্রতিমা 
ত্রিকালদর্শী,ত্রিকাল দর্শন করেন যিনি 
স্তব,তুষারাদির গুচ্ছ 
তুরগ,তুরার সঙ্গে বর্তমান 
ত্রাতা,ত্রাণ করেন যিনি 
তুলকালাম,তুমুল ঝগড়া
তুষানল,তুষের আগুনের মতো মর্মদাহী 
সান্দ্র,তরল অথচ গাঢ় 
তেলেভাজা,তেলে যা ভাজা হয় 
ছলছল,তরঙ্গের শব্দ 
ত্রিভুজ,তিনটি ভুজ আছে যার 
তত্ত্বজিজ্ঞাসু,তত্ত্বজ্ঞান লাভে আগ্রহী যে 
তত্ত্বজ্ঞ,তত্ত্ব জানে বা অবগত এমন লোক 
তত্ত্বাবধায়ক,তত্ত্ব অবধান করেন যিনি 
তদ্ভাব,ত্বৎ বা তার বিশেষ ভাব 
তপস্বী,তপস্যা করেন যিনি 
তমসাচ্ছন্ন,তমসা দ্বারা আচ্ছন্ন 
তকজাল,তর্কের দ্বারা বিস্তৃত জাল 
তটস্থ,তটে অবস্থিত 
তৃণভোজী,তৃণ ভোজন করে বাঁচে এমন 
অতলস্পর্শী,তলাস্পর্শ করা যায় না যার 
তুলটে,তুলার তৈরি 
তিতিক্ষা,ত্যাগ করার ইচ্ছা 
তিতীর্ষা,ত্রাণ লাভ করার ইচ্ছা 
তন্তুবায়,তন্তু দ্বারা বয়ন করে যে 
ততোধিক,তার থেকে বেশি 
তত্ত্বজ্ঞ,তত্ত্ব জানে যে 
তত্ত্বানুসন্ধান,তদন্তের দ্বারা প্রকৃত তত্ত্ব জানার চেষ্টা 
ত্যাজ্যমান,ত্যাগ করা হচ্ছে এমন 
করভ,উটের/হস্তীর শাবক 
নির্ঘোষ,উচ্চ শব্দ 
তাণ্ডব,উদ্দাম নৃত্য 
উপাস্য,উপাসনার যোগ্য 
উড্ডীয়মান,উড়ে যাচ্ছে যা 
উত্তাপিত,উত্তপ্ত করা হয়েছে 
সুফলা,উত্তম ফল যার 
উত্তুরে,উত্তর দিক থেকে আগত 
সুপুরুষ,উত্তম পুরুষ 
পল্লব/কিশলয়,উদ্ভিদের নতুন পাতা 
বালাখানা,উপরতলার ঘর 
অনৌচিত্য,উচিতের অভাব 
অনুদারতা/অনৌদার্য,উদারতার অভাব 
প্রত্যুপকার,উপকারের বিনিময়ে উপকার 
উড়োজাহাজ,উড়ে চলে যে জাহাজ 
উত্তরাস্য,উত্তর দিকে মুখ করে আছে 
উৎপাদ্যমান,উৎপন্ন হচ্ছে এমন 
উৎপাদক,উৎপাদন করেন যিনি 
উদাসী,উদাস হয়ে পড়ে আছে যে 
উপচীয়মান,উপচিয়ে পড়ছে যা 
উত্থাতু,উত্থাতের শিকার হয়েছে যে 
উদ্দীপক,উদ্দীপনা প্রকাশ করে যা 
খেচর,উড়ে চলে যে 
উচ্ছেদ্য,উচ্ছেদ করার যোগ্য 
উদ্যোগী,উদ্যোগ গ্রহণ করেন যিনি 
উপভোগ্য,উপভোগ করার মতো যা 
উপবিষ্ট,উপবেশন করে আছে যে 
উপবাসী,উপবাস করেন যিনি 
উদ্যাপাতা,উদ্যাপন করেন যিনি 
উপর্যুক্ত,উপরে উক্ত হয়েছে এমন 
উপলিপ্ত,উপরে লেপ দেওয়া হয়েছে এমন 
উদ্দীপক,উত্তেজন করেন যিনি 
উদ্দীপিত,উত্তেজন সহ্য করে যে 
উদরসর্বস্ব,উদর সর্বস্ব যা 
উদন্যা,উদক (জল) পানের ইচ্ছা 
উপজ্ঞা,উপদেশ ছাড়া লব্ধ প্রথম জ্ঞান 
অনুচ্চারিত,উচ্চারণ করা হয়নি এমন 
অনুপকৃত,উপকার লাভ করেনি এমন 
অনুপদিষ্ট,উপদেশ দেয়া হয়নি এমন 
অনুপমেয়,উপমা দেয়া যায় না এমন 
উত্তোলিত,উত্তোলন করা হয়েছে এমন 
উত্থাপিত,উত্থাপন করা হয়েছে এমন 
উৎপাদ্যমান,উৎপন্ন হচ্ছে এমন 
উৎসাদনীয়,উচ্ছেদের যোগ্য 
উদয়োন্মুখ,উদিত হবার উপক্রম হয়েছে এমন 
উপকার্য,উপকার লাভের যোগ্য 
উপচীয়মান,উপচিত বা বর্ধিত হচ্ছে এমন 
উপেক্ষিত,উপেক্ষা করা হয়েছে এমন 
লক্ষ্যভ্রষ্ট,উদ্দেশ্য অনুসরণ করে শেষ পর্যন্ত চলতে পারেনি এমন 
হৃদয়ঙ্গম,উপলব্ধি করা হয়েছে এমন 
পাঁচফোড়ন,পঁাচ মিশালী মশলা 
পঠিত,পড়া হয়েছে যা 
পঠিতব্য,পড়ার উন্মুখ 
পাতিব্রত্য,পতিব্রতার ধর্ম 
প্রাক্তন,পূর্বকাল সম্পর্কিত 
বীরবোলি,পুরুষের কণ্ঠভূষণ 
বালার্ক/বালসূর্য,প্রভাতের নবোদিত সূর্য 
মৃতকল্প,প্রায় মৃত 
মাধুকরী,পরিব্রাজকের ভিক্ষা 
ছিদ্রান্বেষী,পরের ছিদ্র অন্বেষণ করা স্বভাব যার 
অভিমান,প্রিয়জনের ত্রুটির জন্য ক্ষোভ 
ঝটপটি,পাখির পাখার শব্দ 
তিতীর্ষু,পার হতে ইচ্ছুক 
পদদলিত,পা দিয়ে মাড়ানো হয়েছে যা 
পরচর্চা,পরের সম্বন্ধে আলোচনা 
পরভৃৎ,পরের শাবককে পালন করে যে 
পরোপচিকীর্ষা,পরের উপকার করার ইচ্ছা 
পাঙক্তেয়,পঙক্তিতে স্থান পাবার যোগ্য 
পিতৃব্য,পিতার ভ্রাতা 
অনাস্বাদিতপূর্ব,পূর্বে যা আস্বাদিত হয়নি 
অধিবেত্তা,প্রথম স্ত্রী বর্তমান থাকা অবস্থায় পুনর্বার বিবাহিত স্বামী 
প্রকাশিতব্য,প্রকাশ হবে এমন বা প্রকাশিত হবে এমন 
প্রজাতান্ত্রিক,প্রজাতন্ত্রি দ্বারা শাসিত 
প্রতিদেয়,প্রতদানের যোগ্য 
প্রতিপাদক,প্রতিপাদন করেন যিনি 
প্রতিপাদ্য,প্রতিপাদনের যোগ্য 
প্রতিপালনীয়,প্রতিপালন করতে হবে এমন 
প্রতিপালিত,প্রতিপালন করা হয়েছে এমন 
পতিব্রতা,পতিসেবাকে পুণ্যরূপে গ্রহণ করেছে এমন 
পতনশীল,পড়ে যাচ্ছে এমন 
পতনোন্মুখ,পতিত হবার উপক্রম হয়েছে এমন 
পদকর্তা/পদকার,পদ রচনা করেন যিনি 
পদলেহী,পরের পায়ে অত্যন্ত হীনভাবে লেহন করে যে 
পদস্থ,পদে অধিষ্ঠিত 
পদাশ্রয়ী,পদে আশ্রয় গ্রহণ করেছে এমন 
পরকীয়,পর সম্পর্কিত 
পরজীবী,পরলোকে আশ্রয় করে থাকে যে 
পরান্নজীবী,পরের অর্থে যে জীবন ধারণ করে থাকে 
পরশ্রীকাতর,পরের উন্নতি বা শ্রী দেখে যার মন খারাপ হয় 
পশ্চাদগামী,পশ্চাতে গমন করে যে 
পশ্চাদ্ধাবন,পশ্চাতে পশ্চাতে সংগোপনে ধারণ করা 
জাতিস্মর,পূর্বজন্মের কথা স্মরণ আছে যার 
পোতাশ্রয়,পোত বা জাহাজের জন্য নিরাপদ আশ্রয় স্থান 
পোষক,পোষণ করে যে 
পৌরুষ,পৌরোহিত্য ভাব ধর্ম বা আচরণ 
প্রকাশক,পুস্তকাদি প্রকাশ করেন যিনি 
পূজনীয়,পূজা করা যায় যাকে 
প্রবর্তক,প্রবর্তন করেন যিনি 
পটুয়া,পট আঁকে যে 
পার্বতী,পর্বতের কন্যা 
প্রমেয়,প্রমাণ করা যায় যা 
অপ্রমেয়,প্রমাণ করা যায় না যা 
প্রেমী,প্রেম করার ইচ্ছুক 
পথিকৃৎ,প্রথম পথ দেখান যিনি 
পার্থিব,পৃথিবীর সাথে সম্পর্কযুক্ত যা 
অপরিহার্য,পরিহার করা যায় না যা 
প্রভাতকল্প,প্রায় প্রভাত হয়েছে এমন 
